Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
145,Lenyn Sosa,25,CHW,AL,0.1,23,82,79,6,21,3,0,1,5,0,0,3,19,.266,.293,.342,.634,86,.293,90,27,2,0,0,0,0,*4/3H5D,,sosale01
146,George Springer,35,TOR,AL,0.9,23,82,69,9,23,6,1,2,12,4,0,11,20,.333,.420,.536,.956,177,.426,175,37,2,0,0,1,0,*9/8DH,,springe01
147,Austin Wells*,25,NYY,AL,0.3,22,82,72,7,13,3,1,4,11,0,0,7,20,.181,.256,.417,.673,92,.300,92,30,3,1,0,2,0,*2/H,,wellsau01
148,Mike Yastrzemski*,34,SFG,NL,1.1,21,82,67,10,18,6,0,3,11,2,2,14,16,.269,.402,.493,.895,159,.396,168,33,0,1,0,0,1,*9/H,,yastrmi01
149,Gabriel Arias,25,CLE,AL,0.7,23,81,74,11,20,4,0,4,10,1,1,5,22,.270,.321,.486,.807,133,.340,125,36,2,1,0,1,0,*4/65H,,ariasga01
150,Kerry Carpenter*,27,DET,AL,0.5,23,81,77,11,23,3,0,5,11,0,1,1,16,.299,.321,.532,.853,145,.370,148,41,1,2,0,1,0,*7/9HD,,carpeke01
151,Andy Pages,24,LAD,NL,0.4,22,81,71,9,13,1,0,4,7,0,1,7,23,.183,.284,.366,.650,86,.285,84,26,0,3,0,0,0,*8/97,,pagesan01
152,Michael Toglia#,26,COL,NL,-0.9,21,81,76,6,14,3,0,1,6,1,0,3,35,.184,.222,.263,.485,31,.216,12,20,1,1,0,1,1,*3,,toglimi01
153,Dylan Crews,23,WSN,NL,0.1,21,80,77,13,15,1,0,3,5,6,1,3,19,.195,.225,.325,.550,55,.265,55,25,0,0,0,0,0,*9/8,,crewsdy01
154,Adam Frazier*,33,PIT,NL,0.3,23,80,72,8,16,3,0,1,8,3,0,6,13,.222,.288,.306,.593,66,.291,70,22,3,1,0,1,0,*4/79H,,fraziad01
155,Trey Sweeney*,25,DET,AL,0.2,24,80,73,10,15,2,1,1,8,1,0,7,14,.205,.275,.301,.576,69,.262,64,22,1,0,0,0,0,*6/H,,sweentr01
156,Jonathan Aranda*,27,TBR,AL,1.3,22,79,65,13,22,8,0,4,13,0,0,11,13,.338,.443,.646,1.089,215,.462,210,42,2,2,0,1,0,*3/HD,,arandjo01
157,Rhys Hoskins,32,MIL,NL,0.3,22,79,66,6,18,1,0,3,12,1,1,11,16,.273,.380,.424,.804,125,.355,126,28,1,1,0,1,0,*3/H,,hoskirh01
158,Eric Wagaman,27,MIA,NL,0.2,20,79,73,12,20,5,0,3,7,1,0,6,11,.274,.329,.466,.795,114,.359,118,34,2,0,0,0,0,3/DH5,,wagamer01
159,Yainer Diaz,26,HOU,AL,-0.2,20,78,75,6,13,3,1,1,8,0,1,3,16,.173,.205,.280,.485,41,.218,40,21,2,0,0,0,0,*2/DH,,diazya02
160,Hunter Goodman,25,COL,NL,0.1,20,78,68,9,16,3,0,3,8,0,0,8,21,.235,.333,.412,.745,100,.330,98,28,3,2,0,0,0,2/D,,goodmhu01
161,Colt Keith*,23,DET,AL,-0.2,24,78,64,8,12,2,0,0,3,0,0,14,18,.188,.333,.219,.552,66,.281,80,14,1,0,0,0,0,4/DH3,,keithco01
162,Jake Burger,29,TEX,AL,-0.4,22,77,73,8,13,2,0,3,9,0,1,2,22,.178,.221,.329,.550,61,.234,54,24,0,2,0,0,0,*3/DH,,burgeja01
163,Tyler Fitzgerald,27,SFG,NL,0.9,21,77,70,12,22,4,1,2,7,5,1,5,18,.314,.360,.486,.846,143,.388,151,34,0,0,2,0,0,*4,,fitzgty01
164,Alejandro Kirk,26,TOR,AL,-0.5,19,76,71,4,15,2,0,1,6,0,0,3,11,.211,.250,.282,.532,55,.237,48,20,5,1,0,1,0,*2/D,,kirkal01
165,Miguel Andujar,30,ATH,AL,0.3,19,75,69,8,22,2,0,2,9,0,0,5,10,.319,.360,.435,.795,129,.359,133,30,2,0,0,1,0,*7/3DH,,andujmi01
166,Ryan Mountcastle,28,BAL,AL,0.6,22,75,71,11,17,4,0,1,5,0,0,3,17,.239,.280,.338,.618,84,.323,115,24,3,1,0,0,0,*3/H,,mountry01
167,Will Smith,30,LAD,NL,1.1,20,75,60,8,21,4,0,3,15,1,1,12,17,.350,.453,.567,1.020,192,.434,190,34,0,1,0,2,0,*2/H,,smithwi05
168,Edouard Julien*,26,MIN,AL,0.1,21,74,68,3,15,5,0,1,6,0,1,4,19,.221,.270,.338,.609,74,.261,66,23,2,1,0,1,0,4/DH6,,julieed01
169,Jake Meyers,29,HOU,AL,0.6,23,74,68,9,18,4,0,0,5,7,1,5,17,.265,.311,.324,.634,87,.302,84,22,2,0,0,1,0,*8/H,,meyerja02
170,Tyler O'Neill,30,BAL,AL,0.4,18,74,65,8,14,3,1,2,10,0,0,5,21,.215,.284,.385,.668,98,.290,92,25,1,2,0,2,0,*9/7D,,oneilty01
171,Alan Roden*,25,TOR,AL,0.1,23,74,64,6,13,3,0,1,5,0,0,5,15,.203,.284,.297,.581,70,.262,66,19,0,3,0,2,0,*7/9H8,,rodenal01
172,Gavin Sheets*,29,SDP,NL,0.3,23,74,68,7,21,4,0,3,12,1,0,5,19,.309,.351,.500,.851,137,.368,132,34,1,0,0,1,0,D/H37,,sheetga01
173,Pavin Smith*,29,ARI,NL,1.1,23,74,60,13,23,9,0,4,9,1,0,14,21,.383,.500,.733,1.233,240,.533,250,44,2,0,0,0,0,D/3H,,smithpa04
174,Spencer Steer,27,CIN,NL,-0.6,18,74,67,10,10,3,0,1,5,1,0,7,18,.149,.230,.239,.469,29,.233,27,16,2,0,0,0,0,D/3,,steersp01
175,LaMonte Wade Jr.*,31,SFG,NL,-0.6,21,74,61,7,6,3,1,1,8,0,0,11,21,.098,.233,.230,.462,35,.213,28,14,0,0,1,1,1,*3/HD,,wadela01
176,Jake Mangum#,29,TBR,AL,0.7,21,73,68,7,23,4,0,0,7,8,0,5,7,.338,.384,.397,.781,130,.370,125,27,2,0,0,0,0,*9/87,,manguja01
177,Garrett Mitchell*,26,MIL,NL,0.0,23,73,64,8,13,4,1,0,3,1,0,6,24,.203,.278,.297,.575,61,.260,51,19,0,1,1,1,0,*8/H,,mitchga01
178,Christopher Morel,26,TBR,AL,0.1,22,73,66,11,17,4,0,2,7,2,1,7,29,.258,.329,.409,.738,115,.352,131,27,2,0,0,0,0,*7/H,,morelch01
179,Patrick Bailey#,26,SFG,NL,-0.3,22,72,66,7,11,4,1,0,8,0,0,5,26,.167,.222,.258,.480,39,.213,30,17,1,0,0,1,0,*2/H,,bailepa01
180,Willi Castro#,28,MIN,AL,0.0,18,72,66,7,15,6,0,1,5,1,0,3,15,.227,.292,.364,.655,87,.293,81,24,0,3,0,0,0,4/5617,,castrwi01
181,Kyle Farmer,34,COL,NL,0.2,21,72,67,2,19,9,0,0,6,0,0,4,15,.284,.319,.418,.737,98,.322,92,28,0,0,0,1,0,4/6D35H,,farmeky01
182,Matt McLain,25,CIN,NL,0.5,17,72,61,14,11,1,0,4,10,3,0,10,23,.180,.306,.393,.699,90,.350,107,24,2,1,0,0,0,4/H,,mclaima01
183,Brayan Rocchio#,24,CLE,AL,-0.3,24,72,62,7,14,2,0,0,6,1,2,5,12,.226,.306,.258,.564,68,.249,65,16,3,3,0,2,0,*6,,rocchbr01
184,Griffin Conine*,27,MIA,NL,0.2,20,71,64,10,18,7,0,1,7,0,1,7,19,.281,.352,.438,.790,114,.355,123,28,0,0,0,0,0,*7/9DH,,coningr01
185,Dylan Moore,32,SEA,AL,0.7,21,71,65,14,18,1,0,5,7,5,4,6,16,.277,.338,.523,.861,158,.373,165,34,0,0,0,0,0,/54H93D6,,mooredy01
186,Max Muncy,22,ATH,AL,-0.5,21,71,68,4,12,4,0,1,4,0,0,3,21,.176,.211,.279,.491,41,.217,32,19,1,0,0,0,0,*4/56H,,muncyma02
187,Luke Raley*,30,SEA,AL,0.0,21,71,58,7,10,2,0,2,7,2,0,9,16,.172,.324,.310,.634,95,.302,100,18,0,4,0,0,0,9/3DH8,,raleylu01
188,Javier Báez,32,DET,AL,0.4,20,70,66,5,17,3,0,0,4,0,1,3,17,.258,.300,.303,.603,78,.276,82,20,1,1,0,0,0,5/68H,,baezja01
189,Brooks Baldwin#,24,CHW,AL,-0.3,22,70,64,5,16,2,0,2,10,2,0,3,19,.250,.279,.375,.654,91,.293,84,24,2,0,2,1,0,/4679H58,,baldwbr01
190,Jake Fraley*,30,CIN,NL,0.3,21,70,62,10,14,3,0,2,8,2,2,8,13,.226,.314,.371,.685,87,.313,94,23,0,0,0,0,0,*9/H,,fraleja01
191,Jackson Holliday*,21,BAL,AL,0.1,19,70,64,6,15,1,1,2,8,1,2,6,17,.234,.300,.375,.675,101,.315,118,24,1,0,0,0,0,4/6,,hollija01
192,Andrew McCutchen,38,PIT,NL,0.4,19,70,60,8,15,3,0,2,9,1,0,10,12,.250,.357,.400,.757,111,.341,111,24,3,0,0,0,0,/D9H,,mccutan01
193,Ezequiel Tovar,23,COL,NL,0.0,16,70,66,4,14,4,1,0,4,2,2,3,13,.212,.257,.303,.560,51,.253,48,20,0,1,0,0,0,*6,,tovarez01
194,Jo Adell,26,LAA,AL,-0.2,19,69,65,4,14,4,0,2,13,0,0,3,17,.215,.261,.369,.630,79,.276,73,24,0,1,0,0,0,*8,,adelljo01
195,Harrison Bader,31,MIN,AL,0.8,22,69,61,6,14,1,0,3,12,1,1,5,20,.230,.319,.393,.712,103,.323,108,24,1,3,0,0,0,*7/89H,,baderha01
196,Joey Bart,28,PIT,NL,0.5,17,69,59,4,17,1,1,1,7,1,0,8,21,.288,.391,.390,.781,120,.358,123,23,2,2,0,0,0,2/H,,bartjo01
197,Gunnar Henderson*,24,BAL,AL,0.1,16,69,66,9,14,4,1,2,3,2,0,3,22,.212,.246,.394,.640,88,.283,82,26,0,0,0,0,0,6/D,,hendegu01
198,Matt Mervis*,27,MIA,NL,0.2,19,69,60,9,14,2,0,7,14,0,0,7,25,.233,.319,.617,.936,148,.387,141,37,0,1,0,1,1,3/DH,,mervima01
199,Logan O'Hoppe,25,LAA,AL,0.5,19,69,67,8,19,1,0,5,9,0,0,2,27,.284,.304,.522,.827,133,.358,131,35,1,0,0,0,0,*2/H,,ohopplo01
200,Cam Smith,22,HOU,AL,0.6,19,69,62,8,14,0,1,3,10,1,0,5,20,.226,.304,.403,.708,105,.319,105,25,0,2,0,0,0,*9,,smithca07
201,Oswaldo Cabrera#,26,NYY,AL,0.2,19,68,61,9,16,1,0,1,5,0,1,6,17,.262,.338,.328,.666,95,.326,116,20,1,1,0,0,0,*5/379H,,cabreos01
202,Matt Shaw,23,CHC,NL,0.0,18,68,58,11,10,1,0,1,3,0,0,10,18,.172,.294,.241,.535,55,.252,53,14,0,0,0,0,0,*5/H,,shawma01
203,Alek Thomas*,25,ARI,NL,0.2,19,68,61,9,17,3,2,0,10,3,1,4,16,.279,.338,.393,.732,104,.323,98,24,1,2,0,1,0,*8/HD,,thomaal01
204,Taylor Walls#,28,TBR,AL,0.6,22,68,59,7,10,0,0,0,4,4,0,8,15,.169,.265,.169,.434,31,.225,30,10,1,0,0,1,0,*6/HD,,wallsta01
205,Ryan Jeffers,28,MIN,AL,0.4,17,67,59,4,15,5,0,0,5,0,0,6,13,.254,.343,.339,.682,97,.311,97,20,1,2,0,0,0,2/D,,jeffery01
206,Kyren Paris,23,LAA,AL,1.1,21,67,58,13,15,1,1,5,8,5,0,5,23,.259,.348,.569,.917,159,.427,169,33,1,3,0,0,0,4/8HD,,parisky01
207,Tyrone Taylor,31,NYM,NL,0.1,18,67,64,6,12,1,2,0,3,1,1,1,16,.188,.224,.266,.490,40,.230,42,17,1,2,0,0,0,*8/79H,,tayloty01
208,Matt Wallner*,27,MIN,AL,0.7,18,67,57,7,15,5,2,1,3,0,0,9,19,.263,.373,.474,.847,141,.395,157,27,0,1,0,0,0,9/DH,,wallnma01
209,Dillon Dingler,26,DET,AL,0.5,18,66,65,6,18,3,1,3,11,0,0,0,20,.277,.288,.492,.780,124,.350,130,32,0,1,0,0,0,2/H,,dingldi01
210,Nolan Jones*,27,CLE,AL,-0.4,22,66,56,3,10,4,0,0,2,2,1,10,19,.179,.303,.250,.553,65,.262,67,14,2,0,0,0,0,*9/8H,,jonesno01
211,Kameron Misner*,27,TBR,AL,1.0,20,66,59,13,22,7,1,3,11,1,0,4,10,.373,.409,.678,1.087,212,.454,201,40,1,1,0,2,0,*8/79H,,misneka01
212,Joc Pederson*,33,TEX,AL,-1.1,20,66,59,2,4,2,0,0,0,0,0,5,16,.068,.154,.102,.256,-22,.129,-27,6,4,1,0,0,0,*D/H,,pederjo01
213,Jarred Kelenic*,25,ATL,NL,-0.5,23,65,60,7,10,2,0,2,2,0,1,5,23,.167,.231,.300,.531,47,.232,39,18,1,0,0,0,0,*9/H7,,kelenja01
214,Gabriel Moreno,25,ARI,NL,-0.3,20,64,56,9,12,1,0,0,2,0,0,8,10,.214,.313,.232,.545,55,.261,55,13,2,0,0,0,0,*2/H,,morenga01
215,Carlos Narváez,26,BOS,AL,0.5,17,64,59,7,12,4,0,1,5,0,1,5,15,.203,.266,.322,.588,67,.256,63,19,2,0,0,0,0,2,,narvaca01
216,Ryan O'Hearn*,31,BAL,AL,0.4,17,64,57,8,16,3,0,3,6,1,0,6,7,.281,.359,.491,.851,152,.376,151,28,1,1,0,0,0,/D39H,,ohearry01
217,Jose Iglesias,35,SDP,NL,0.2,18,63,57,4,17,4,0,0,6,1,0,3,10,.298,.355,.368,.723,105,.338,110,21,1,2,1,0,0,4/567,,iglesjo01
218,Kyle Isbel*,28,KCR,AL,0.0,20,63,60,6,13,2,1,1,5,0,1,1,16,.217,.230,.333,.563,61,.232,46,20,1,0,2,0,0,*8,,isbelky01
219,Justyn-Henry Malloy,25,DET,AL,0.1,18,63,48,8,10,3,0,1,8,0,0,12,16,.208,.365,.333,.698,107,.319,107,16,1,1,0,2,0,D/H97,,malloju02
220,Gio Urshela,33,ATH,AL,-0.1,18,63,57,2,11,6,1,0,9,0,0,5,12,.193,.258,.333,.591,70,.277,74,19,2,0,1,0,0,*5,,urshegi01
221,Enmanuel Valdéz*,26,PIT,NL,0.3,19,63,54,6,12,3,2,1,9,0,0,9,11,.222,.333,.407,.741,106,.329,104,22,2,0,0,0,0,3/4H9,,valdeen01
222,Andrew Benintendi*,30,CHW,AL,0.6,16,62,58,8,14,0,0,4,9,0,0,4,12,.241,.290,.448,.739,114,.332,118,26,1,0,0,0,0,7/DH,,beninan01
223,Ernie Clement,29,TOR,AL,0.3,24,62,56,4,13,3,0,0,5,1,1,4,11,.232,.279,.286,.564,65,.248,58,16,2,0,1,1,0,*5/H,,clemeer01
224,Mickey Moniak*,27,COL,NL,0.4,20,62,56,10,13,2,3,3,9,0,1,5,12,.232,.306,.536,.842,122,.343,113,30,0,1,0,0,1,*8/79H,,moniami01
225,Bo Naylor*,25,CLE,AL,0.2,16,62,52,6,10,1,0,2,6,1,0,8,12,.192,.295,.327,.622,82,.300,91,17,0,0,1,1,0,2,,naylobo01
226,Pedro Pagés,26,STL,NL,0.2,18,62,60,8,15,5,0,1,10,0,0,2,16,.250,.274,.383,.658,83,.302,87,23,1,0,0,0,0,*2/4,,pagespe02
227,Leody Taveras#,26,TEX,AL,-0.3,21,62,61,5,12,1,1,0,6,6,1,1,17,.197,.210,.246,.456,35,.215,25,15,0,0,0,0,0,*8,,taverle01
228,Will Wagner*,26,TOR,AL,-0.2,18,62,55,4,11,2,0,0,2,0,0,6,14,.200,.279,.236,.515,52,.271,71,13,0,0,1,0,0,5/D3H,,wagnewi01
229,Jacob Young,25,WSN,NL,0.2,20,62,50,6,11,2,0,0,1,2,3,9,6,.220,.350,.260,.610,78,.265,75,13,2,1,2,0,0,*8/DH,,youngja03
230,Wyatt Langford,23,TEX,AL,1.0,15,61,51,8,15,1,0,6,8,4,1,8,12,.294,.393,.667,1.060,208,.451,200,34,2,1,0,1,0,7,,langfwy01
231,Luis Torrens,29,NYM,NL,0.4,21,61,58,2,14,6,0,1,8,0,0,3,14,.241,.279,.397,.675,91,.311,97,23,1,0,0,0,0,*2/H,,torrelu01
232,Christian Encarnacion-Strand,25,CIN,NL,-0.7,15,60,57,4,9,2,0,2,5,0,1,1,13,.158,.183,.298,.482,29,.200,12,17,1,1,0,1,0,3,,encarch01
233,Danny Jansen,30,TBR,AL,0.4,17,60,50,5,7,2,0,1,5,0,0,10,15,.140,.283,.240,.523,56,.252,60,12,3,0,0,0,0,*2/H,,janseda01
234,Graham Pauley*,24,MIA,NL,-0.1,16,60,55,4,13,5,0,0,5,0,0,3,15,.236,.271,.327,.598,62,.260,48,18,0,0,1,1,0,5/4,,paulegr01
235,Jorge Polanco#,31,SEA,AL,0.4,16,60,56,6,19,2,0,4,13,1,1,2,8,.339,.356,.589,.945,183,.416,191,33,0,0,1,1,0,D/534,,polanjo01
236,Masyn Winn,23,STL,NL,0.2,15,60,52,8,12,0,0,1,5,0,0,5,17,.231,.317,.288,.605,72,.278,69,15,0,2,0,1,0,6,,winnma01
237,Luisangel Acuña,23,NYM,NL,0.2,22,59,53,11,15,5,0,0,1,6,1,6,12,.283,.356,.377,.733,111,.341,108,20,2,0,0,0,0,*4/H6,,acunajo01
238,Santiago Espinal,30,CIN,NL,0.2,18,59,53,5,14,3,0,0,2,0,0,6,2,.264,.339,.321,.660,82,.299,78,17,2,0,0,0,0,/45967H,,espinsa01
239,Kiké Hernández,33,LAD,NL,0.1,18,59,54,4,7,1,0,4,8,0,0,4,19,.130,.186,.370,.557,56,.254,57,20,2,0,0,1,0,3/4DH,,hernaen02
240,Josh Jung,27,TEX,AL,0.4,15,59,58,5,15,5,1,1,6,1,0,1,14,.259,.271,.431,.702,105,.318,107,25,2,0,0,0,0,5,,jungjo01
241,Miguel Amaya,26,CHC,NL,0.5,15,58,54,7,15,6,0,2,14,0,0,1,11,.278,.298,.500,.798,122,.339,116,27,0,1,1,1,0,2/DH,,amayami01
242,Brett Baty*,25,NYM,NL,0.0,19,58,54,4,11,3,1,1,4,1,0,3,19,.204,.246,.352,.597,69,.265,61,19,2,0,0,0,0,4/5H,,batybr01
243,Liam Hicks*,26,MIA,NL,0.0,18,58,49,5,12,2,0,1,11,0,0,4,10,.245,.321,.347,.668,83,.303,79,17,1,2,2,1,0,*2/H,,hicksli01
244,Heston Kjerstad*,26,BAL,AL,0.0,20,58,53,9,13,2,0,3,12,0,0,1,13,.245,.293,.453,.746,120,.321,114,24,2,3,0,1,0,*7/9HD,,kjershe01
245,Hunter Renfroe,33,KCR,AL,-1.2,17,58,52,1,7,1,0,0,3,0,0,6,14,.135,.224,.154,.378,12,.185,9,8,3,0,0,0,0,9/DH,,renfrhu01
246,Josh Smith*,27,TEX,AL,0.7,18,58,50,11,18,4,0,2,4,3,1,8,14,.360,.448,.560,1.008,198,.454,206,28,0,0,0,0,1,/563478DH,,smithjo11
247,Ramón Urías,31,BAL,AL,0.6,16,58,49,3,15,2,0,0,7,0,0,7,9,.306,.379,.347,.726,120,.335,124,17,1,0,0,2,0,5/DH,,uriasra01
248,Paul DeJong,31,WSN,NL,0.0,16,57,54,3,11,4,0,0,2,2,0,2,24,.204,.246,.278,.523,49,.246,43,15,1,1,0,0,0,5/6,,dejonpa01
249,Brenton Doyle,27,COL,NL,0.6,13,57,54,7,17,3,0,3,12,1,0,3,11,.315,.351,.537,.888,136,.385,134,29,1,0,0,0,0,8/H,,doylebr02
250,Jonah Heim#,30,TEX,AL,0.4,17,57,53,5,13,2,0,3,7,2,0,4,14,.245,.298,.453,.751,119,.352,128,24,3,0,0,0,0,2/DH,,heimjo01
251,Nick Maton*,28,CHW,AL,0.0,22,57,48,4,8,1,0,2,3,0,1,9,16,.167,.298,.313,.611,80,.275,83,15,0,0,0,0,0,D/H347,,matonni01
252,Gleyber Torres,28,DET,AL,0.1,13,57,53,8,15,1,0,2,7,3,0,4,6,.283,.333,.415,.748,118,.345,117,22,1,0,0,0,0,4/D,,torregl01
253,Jose Trevino,32,CIN,NL,0.2,20,57,52,11,16,6,0,1,5,0,0,4,7,.308,.357,.481,.838,127,.365,126,25,1,0,1,0,0,*2,,trevijo01
254,Alex Call,30,WSN,NL,0.3,17,56,42,7,13,2,1,0,8,1,0,10,4,.310,.418,.405,.823,137,.388,150,17,1,0,1,3,0,9/7H,,callal02
255,Trent Grisham*,28,NYY,AL,1.1,20,56,50,12,16,1,0,6,13,0,1,5,11,.320,.393,.700,1.093,210,.469,219,35,0,1,0,0,0,*8,,grishtr01
256,Nick Allen,26,ATL,NL,0.4,17,55,52,6,14,3,0,0,1,4,1,2,15,.269,.309,.327,.636,78,.294,73,17,1,1,0,0,0,*6/H,,allenni02
257,Freddie Freeman*,35,LAD,NL,0.1,14,55,48,7,12,4,0,4,11,0,1,5,10,.250,.327,.583,.911,156,.369,148,28,0,1,0,1,1,3/H,,freemfr01
258,Carson Kelly,30,CHC,NL,1.2,14,54,38,12,13,1,1,6,18,0,0,14,4,.342,.519,.895,1.413,293,.558,274,34,1,1,0,1,0,2/H,,kellyca02
259,Nick Martini*,35,COL,NL,0.3,20,53,47,5,13,2,0,0,2,0,0,6,8,.277,.358,.319,.678,85,.319,90,15,1,0,0,0,1,*9/H7D,,martini02
260,Brendan Rodgers,28,HOU,AL,0.1,16,53,45,4,11,3,0,0,7,0,1,6,18,.244,.340,.311,.651,93,.290,94,14,2,1,0,1,0,4/DH,,rodgebr02
261,Rowdy Tellez*,30,SEA,AL,-0.2,18,53,49,6,8,1,0,4,11,0,0,2,17,.163,.208,.429,.636,88,.272,83,21,2,1,0,1,0,3/DH,,tellero01
262,Jesse Winker*,31,NYM,NL,-0.1,17,53,47,2,10,4,2,1,7,1,0,5,16,.213,.283,.447,.730,106,.307,91,21,1,0,0,1,1,D/H7,,winkeje01
263,MJ Melendez*,26,KCR,AL,-0.5,16,52,47,4,4,1,0,1,1,0,0,3,20,.085,.173,.170,.343,0,.167,-4,8,0,2,0,0,0,7/9HD,,melenmj01
264,Matt Thaiss*,30,CHW,AL,0.5,18,52,40,4,8,2,0,1,6,0,1,10,11,.200,.365,.325,.690,106,.328,122,13,2,1,0,1,0,2/H,,thaisma01
265,José Caballero,28,TBR,AL,0.7,17,51,44,6,12,3,1,1,9,5,3,7,20,.273,.373,.455,.827,141,.376,153,20,0,0,0,0,0,/956H7,,cabaljo01
266,Elias Díaz,34,SDP,NL,0.0,16,51,43,5,8,1,0,1,4,0,0,7,9,.186,.300,.279,.579,65,.273,65,12,1,0,1,0,0,2/H,,diazel01
267,Brandon Marsh*,27,PHI,NL,-0.8,17,51,42,3,4,0,0,1,5,0,1,7,16,.095,.220,.167,.387,11,.183,5,7,1,0,1,1,0,*8/7H,,marshbr02
268,Sean Murphy,30,ATL,NL,0.7,13,51,44,7,9,0,0,6,12,0,0,4,17,.205,.314,.614,.927,152,.392,150,27,2,3,0,0,0,2/DH,,murphse01
269,Michael A. Taylor,34,CHW,AL,-0.2,21,51,48,6,7,1,1,1,2,2,0,3,13,.146,.196,.271,.467,36,.215,27,13,1,0,0,0,0,*/79H8D,,taylomi02
270,Jacob Amaya,26,CHW,AL,-0.7,19,50,46,3,4,1,0,0,4,2,0,2,12,.087,.120,.109,.229,-32,.117,-43,5,1,0,0,2,0,*6,,amayaja01
271,Drake Baldwin*,24,ATL,NL,0.1,14,50,45,2,11,2,0,2,6,0,0,5,10,.244,.320,.422,.742,106,.329,104,19,1,0,0,0,0,2/HD,,baldwdr01
272,Bryan De La Cruz,28,ATL,NL,-0.3,16,50,47,1,9,1,0,0,0,1,0,3,18,.191,.240,.213,.453,28,.233,31,10,1,0,0,0,0,7/H9D,,delacbr01
273,Starling Marte,36,NYM,NL,-0.1,17,50,43,4,8,2,0,1,7,2,0,2,11,.186,.280,.302,.582,67,.296,80,13,0,4,0,1,0,D/H,,martest01
274,Dane Myers,29,MIA,NL,0.0,17,50,49,6,14,2,0,1,5,2,1,1,14,.286,.300,.388,.688,86,.317,91,19,1,0,0,0,0,*8/9H,,myersda01
275,Endy Rodríguez#,25,PIT,NL,-0.5,15,50,45,4,8,3,0,0,2,0,1,5,12,.178,.260,.244,.504,42,.226,37,11,0,0,0,0,0,3/2H,,rodrien01
276,Jason Heyward*,35,SDP,NL,-0.2,17,48,42,4,8,1,0,1,6,0,1,4,11,.190,.255,.286,.541,52,.229,40,12,0,0,0,1,0,*7/H98,,heywaja01
277,Derek Hill,29,MIA,NL,0.3,11,48,42,7,7,2,0,1,3,3,0,3,17,.167,.239,.286,.525,43,.252,28,12,0,1,2,0,0,8/D,,hillde01
278,Javier Sanoja,22,MIA,NL,0.3,14,48,44,6,15,1,0,1,6,1,2,2,11,.341,.362,.432,.794,116,.329,111,19,0,0,1,1,0,/7H568134,,sanojja01
279,Lane Thomas,29,CLE,AL,-0.6,13,48,45,2,7,1,0,0,2,1,0,1,15,.156,.188,.178,.365,8,.170,-3,8,3,1,0,1,0,8/H,,thomala02
280,Justin Turner,40,CHC,NL,-0.2,16,48,39,4,6,0,0,0,4,1,0,7,12,.154,.292,.154,.446,31,.252,49,6,0,1,0,1,0,/3HD5,,turneju01
281,Tim Anderson,32,LAA,AL,0.1,17,47,44,6,8,1,0,0,3,1,0,2,13,.182,.234,.205,.439,28,.205,18,9,1,1,0,0,0,6/4H,,anderti01
282,Jake McCarthy*,27,ARI,NL,-0.6,14,47,41,2,3,1,0,0,3,1,0,4,6,.073,.170,.098,.268,-23,.146,-32,4,0,1,0,1,0,/87HD,,mccarja02
283,Jonah Bride,29,2TM,2LG,-0.5,13,47,42,3,5,0,0,0,2,0,0,5,16,.119,.213,.119,.332,-6,.175,-16,5,0,0,0,0,1,/D35H,,bridejo01
283,Jonah Bride,29,MIA,NL,-0.5,12,45,40,3,4,0,0,0,2,0,0,5,15,.100,.200,.100,.300,-15,.162,-25,4,0,0,0,0,1,/D35H,,bridejo01
283,Jonah Bride,29,MIN,AL,0.0,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,189,.451,200,1,0,0,0,0,0,/5,,bridejo01
284,CJ Abrams*,24,WSN,NL,0.6,11,46,41,6,10,2,0,4,7,4,0,3,12,.244,.289,.585,.874,142,.388,138,24,0,0,1,1,0,6,,abramcj01
285,Blake Dunn,26,CIN,NL,0.2,18,46,34,9,6,1,0,1,5,1,0,6,14,.176,.391,.294,.685,92,.342,105,10,1,6,0,0,0,*7/98H,,dunnbl01
286,Mitch Garver,34,SEA,AL,-0.1,15,46,38,3,8,0,0,0,2,1,0,7,14,.211,.348,.211,.558,76,.281,86,8,1,1,0,0,0,/DH2,,garvemi01
287,Víctor Robles,28,SEA,AL,-0.3,10,46,44,3,12,3,0,0,3,3,0,0,7,.273,.283,.341,.624,89,.285,82,15,1,1,0,1,0,9,,roblevi01
288,Nolan Gorman*,25,STL,NL,0.1,12,45,39,7,9,4,0,1,7,0,1,5,12,.231,.311,.410,.721,101,.293,89,16,0,0,0,1,1,4/5DH,,gormano01
289,Kyle Higashioka,35,TEX,AL,0.3,13,45,43,2,12,3,0,1,5,0,0,2,7,.279,.311,.419,.730,114,.320,111,18,0,0,0,0,0,2,,higasky01
290,Jhonkensy Noel,23,CLE,AL,-0.4,18,45,42,6,7,1,0,0,4,0,0,2,12,.167,.200,.190,.390,15,.177,6,8,1,0,0,1,0,9/HD,,noeljh01
291,Johan Rojas,24,PHI,NL,0.3,16,45,41,5,13,2,0,0,6,3,1,3,13,.317,.364,.366,.729,106,.328,101,15,0,0,1,0,0,8/H,,rojasjo03
